instance_key,uid,name,path,level,parent_uid
EMIS,WVp8yMnO5cu,"Aberidwogo Parish",/KJPN4PduBWe/n90wmiOocDw/p7EEgDEX3jT/soxn2fd2is1/lireba0g3Da/WVp8yMnO5cu,6,lireba0g3Da
EMIS,aXeHoNqx92g,"Abia(Abia Subcounty) Parish",/KJPN4PduBWe/n90wmiOocDw/p7EEgDEX3jT/soxn2fd2is1/lireba0g3Da/aXeHoNqx92g,6,lireba0g3Da
EMIS,jP7zLnkaygp,"Abia(Kuju Subcounty) Parish",/KJPN4PduBWe/rn2uTdRyUbh/TM6ccNxawqy/qUhuL9OJHWh/dlW3jC4tF2A/jP7zLnkaygp,6,dlW3jC4tF2A
EMIS,dJYSZHKF4Ya,"Abilaep Parish",/KJPN4PduBWe/rn2uTdRyUbh/tdZbtg9sZkO/Pf8NPQB7A7K/ERBPumWfX4z/dJYSZHKF4Ya,6,ERBPumWfX4z
EMIS,YSXcUeNXJJY,"Abiliyep Parish",/KJPN4PduBWe/uN4gXUciDZ8/a8RHFdF4DXL/GY8MHzVLI6F/AK8bwzBcjWc/YSXcUeNXJJY,6,AK8bwzBcjWc
EMIS,pahdntsOXH8,"Abindi Parish",/KJPN4PduBWe/ToANlYyRiKb/yKjxFBHrGgw/YSFmAjdcrQU/GKvplwWtTl3/pahdntsOXH8,6,GKvplwWtTl3
EMIS,ZrzRQ35gnxc,"Abira East  Parish",/KJPN4PduBWe/ToANlYyRiKb/A4aGXEfdb8P/x6VPaGLg6q1/Duk7D3p3Cee/ZrzRQ35gnxc,6,Duk7D3p3Cee
EMIS,O5PqjvFzYj9,"Abira East Parish",/KJPN4PduBWe/ToANlYyRiKb/A4aGXEfdb8P/x6VPaGLg6q1/Duk7D3p3Cee/O5PqjvFzYj9,6,Duk7D3p3Cee
EMIS,oy1XooAItm0,"Abira West Parish",/KJPN4PduBWe/ToANlYyRiKb/A4aGXEfdb8P/x6VPaGLg6q1/Duk7D3p3Cee/oy1XooAItm0,6,Duk7D3p3Cee
EMIS,zJRsayjSn3T,"Abirabira Parish",/KJPN4PduBWe/rn2uTdRyUbh/QoRZB7xc3j9/PUyNDCs6OkV/gp7Uz8fwu23/zJRsayjSn3T,6,gp7Uz8fwu23
EMIS,uGXNINFzFIG,"Abiting Parish",/KJPN4PduBWe/n90wmiOocDw/p7EEgDEX3jT/soxn2fd2is1/u9UneLEtuAi/uGXNINFzFIG,6,u9UneLEtuAi
EMIS,Cjrtvwd5R6j,"Abochet Parish",/KJPN4PduBWe/DmeAF6ZFSzz/lkuO79O6mRx/OT2UCm5IqDD/QZJn3hiO6Zp/Cjrtvwd5R6j,6,QZJn3hiO6Zp
EMIS,gNcWhvlo7Ba,"Abok Parish",/KJPN4PduBWe/ToANlYyRiKb/uqUyTPvQKII/WzCTxqL56PX/bH7sNzWjO1I/gNcWhvlo7Ba,6,bH7sNzWjO1I
EMIS,uIkyVCanq41,"Aboko Parish",/KJPN4PduBWe/n90wmiOocDw/gCN6sU5BjlR/YQofQVGhwAl/WoNw1cfI6QF/uIkyVCanq41,6,WoNw1cfI6QF
EMIS,GnJxHrY4C7S,"Abongatin Parish",/KJPN4PduBWe/n90wmiOocDw/p7EEgDEX3jT/soxn2fd2is1/VYVQfdvBzxG/GnJxHrY4C7S,6,VYVQfdvBzxG
EMIS,mqwEAIftUHw,"Abongo Parish",/KJPN4PduBWe/ToANlYyRiKb/Xjc0LDFa5gW/GDfVHitWE3g/sLBLFPmx0Ki/mqwEAIftUHw,6,sLBLFPmx0Ki
EMIS,pKJhPGITgCi,"Abongorwot(Agali Subcounty) Parish",/KJPN4PduBWe/n90wmiOocDw/Lj8t70RYnEt/Z6jOVYoS7Le/kQC82MEQIvT/pKJhPGITgCi,6,kQC82MEQIvT
EMIS,HK4VXagTAmI,"Abongorwot(Orum Subcounty) Parish",/KJPN4PduBWe/n90wmiOocDw/aXjub1BYn1y/uAmyexH3IpN/YLu91VNQTlD/HK4VXagTAmI,6,YLu91VNQTlD
EMIS,A57LVbJKl6h,"Abubur Parish",/KJPN4PduBWe/rn2uTdRyUbh/saT18HClZoz/mVia0FcPFQg/MSkaQMKYDGU/A57LVbJKl6h,6,MSkaQMKYDGU
EMIS,seSCKABv0Po,"Abukamola Parish",/KJPN4PduBWe/n90wmiOocDw/p7EEgDEX3jT/soxn2fd2is1/T1ZBKTAVg4X/seSCKABv0Po,6,T1ZBKTAVg4X
EMIS,jkrdPv6kKGx,"Abuli Parish",/KJPN4PduBWe/n90wmiOocDw/gCN6sU5BjlR/YQofQVGhwAl/fJIbsMWIqvm/jkrdPv6kKGx,6,fJIbsMWIqvm
EMIS,JlaZq48Owhf,"Abunga(Amugu Subcounty) Parish",/KJPN4PduBWe/n90wmiOocDw/p7EEgDEX3jT/soxn2fd2is1/VYVQfdvBzxG/JlaZq48Owhf,6,VYVQfdvBzxG
EMIS,NVokHUUhiPe,"Abunga(Barr Subcounty) Parish",/KJPN4PduBWe/n90wmiOocDw/Lj8t70RYnEt/Z6jOVYoS7Le/cknntfF4SWQ/NVokHUUhiPe,6,cknntfF4SWQ
EMIS,XVpRSZ55VBv,"Abur Parish",/KJPN4PduBWe/n90wmiOocDw/Y4LV8xqkv6J/yuZ66tsFybX/zP8OUKT5xa1/XVpRSZ55VBv,6,zP8OUKT5xa1
EMIS,qHXrJWj5Bc5,"Aburcero Parish",/KJPN4PduBWe/n90wmiOocDw/wMQ25dybdgH/JQS5nqalLHt/FsinlhpFnq3/qHXrJWj5Bc5,6,FsinlhpFnq3
EMIS,HZ39Lm8FOjg,"Aburkidi Parish",/KJPN4PduBWe/n90wmiOocDw/ZuQHWOaFQVM/w2z5HQFFbPY/ZvKLjuT1TNW/HZ39Lm8FOjg,6,ZvKLjuT1TNW
EMIS,kT5GoVp08t0,"Aburkot Ward Parish",/KJPN4PduBWe/n90wmiOocDw/ZuQHWOaFQVM/w2z5HQFFbPY/xlAiS1ae6Af/kT5GoVp08t0,6,xlAiS1ae6Af
EMIS,kOqNVjDjX0O,"Abwanget (Akoboi Subcounty) Parish",/KJPN4PduBWe/rn2uTdRyUbh/cSrCFjPKqcG/i11SZTLQap4/EZ3SAh78r3j/kOqNVjDjX0O,6,EZ3SAh78r3j
EMIS,pcoCeQjZOg5,"Abwanget Parish",/KJPN4PduBWe/rn2uTdRyUbh/cSrCFjPKqcG/i11SZTLQap4/EZ3SAh78r3j/pcoCeQjZOg5,6,EZ3SAh78r3j
EMIS,XTgzpKASsGU,"Abwanget(Willa Subcounty) Parish",/KJPN4PduBWe/rn2uTdRyUbh/TM6ccNxawqy/qUhuL9OJHWh/Hr3N4iC1NHc/XTgzpKASsGU,6,Hr3N4iC1NHc
EMIS,wVhy1frQcuD,"Abwoc Olil Parish",/KJPN4PduBWe/n90wmiOocDw/Lj8t70RYnEt/Z6jOVYoS7Le/b62W7Du8SBv/wVhy1frQcuD,6,b62W7Du8SBv
EMIS,Oj14jeYdw7x,"Abwoch Parish",/KJPN4PduBWe/yXncUmqtQYF/S5fvUXgY54J/hzu0iHelGx4/ACuoMtDQa9M/Oj14jeYdw7x,6,ACuoMtDQa9M
EMIS,EueOZ3QasL3,"Abwockwar Parish",/KJPN4PduBWe/n90wmiOocDw/ZuQHWOaFQVM/w2z5HQFFbPY/lnuAGQZpJO6/EueOZ3QasL3,6,lnuAGQZpJO6
EMIS,pl13ncJObIe,"Abwokodia Parish",/KJPN4PduBWe/rn2uTdRyUbh/cSrCFjPKqcG/i11SZTLQap4/CBFtk2zhHUw/pl13ncJObIe,6,CBFtk2zhHUw
EMIS,VAJhDbWG4os,"Abwong Parish",/KJPN4PduBWe/n90wmiOocDw/gCN6sU5BjlR/YQofQVGhwAl/H5aaabQNsOQ/VAJhDbWG4os,6,H5aaabQNsOQ
